Order_ID,Order_Date,Customer_Name,Gender,Age,City,State,Region,Product,Category,Sub_Category,Salesperson,Quantity,Unit_Price,Discount,Sales_Amount,Profit,Payment_Mode,Order_Status,Delivery_Status
ORD00001,2025-08-03,Arjun Patel,Male,28,Delhi,Delhi,North,Smartwatch,Accessories,Wearables,Meera Mehta,5,5300.0,15,0.0,0.0,UPI,Cancelled,Cancelled
ORD00002,2025-11-10,Vivaan Shah,Female,42,Jaipur,Rajasthan,North,Headphones,Electronics,Accessories,Aarav Shah,5,7800.0,15,33150.0,-996.82,Credit Card,Returned,Returned
ORD00003,2025-06-16,Vivaan Shah,Female,21,Bengaluru,Karnataka,South,Jacket,Fashion,Clothing,Kabir Joshi,3,4200.0,25,9450.0,529.56,Net Banking,Completed,Delivered
ORD00004,2025-03-22,Rohan Kapoor,Female,57,Kochi,Kerala,South,Sofa,Furniture,Living Room,Anaya Joshi,2,20400.0,15,34680.0,2284.2,UPI,Completed,Delivered
ORD00005,2025-12-17,Anaya Kapoor,Female,32,Nagpur,Maharashtra,West,Dining Table,Furniture,Dining,Meera Mehta,4,19900.0,25,59700.0,6475.54,Credit Card,Completed,Delivered
ORD00006,2025-01-15,Kabir Desai,Male,18,Jaipur,Rajasthan,North,Jacket,Fashion,Clothing,Kabir Joshi,5,3500.0,15,14875.0,2610.31,Net Banking,Completed,Delivered
ORD00007,2025-02-10,Arjun Patel,Female,24,Ahmedabad,Gujarat,West,Bed,Furniture,Bedroom,Kabir Joshi,3,21500.0,15,54825.0,8238.29,Debit Card,Completed,Delivered
ORD00008,2025-01-05,Rohan Shah,Female,31,Surat,Gujarat,West,Laptop,Electronics,Computers,Arjun Patel,5,74200.0,15,315350.0,38775.95,UPI,Completed,Delivered
ORD00009,2025-08-19,Vivaan Singh,Male,32,Lucknow,Uttar Pradesh,North,T-Shirt,Fashion,Clothing,Anaya Joshi,2,600.0,0,1200.0,109.04,Net Banking,Completed,Delivered
ORD00010,2025-11-27,Anaya Kapoor,Female,45,Delhi,Delhi,North,Sunglasses,Accessories,Eyewear,Kabir Joshi,4,6600.0,15,22440.0,1429.75,UPI,Completed,Delivered
ORD00011,2025-12-25,Kabir Mehta,Female,25,Ahmedabad,Gujarat,West,Laptop,Electronics,Computers,Kabir Joshi,1,70900.0,0,0.0,0.0,Credit Card,Cancelled,Cancelled
ORD00012,2025-06-29,Meera Shah,Male,29,Ahmedabad,Gujarat,West,Sunglasses,Accessories,Eyewear,Arjun Patel,2,2800.0,20,4480.0,-222.61,Credit Card,Returned,Returned
ORD00013,2025-08-13,Vivaan Verma,Male,36,Bhopal,Madhya Pradesh,Central,Refrigerator,Appliances,Kitchen Appliances,Diya Patel,1,74900.0,5,71155.0,8207.61,Credit Card,Completed,Delivered
ORD00014,2025-07-17,Anaya Patel,Female,28,Nagpur,Maharashtra,West,Television,Electronics,Home Entertainment,Aarav Shah,3,49000.0,5,139650.0,-8811.98,UPI,Returned,Returned
ORD00015,2025-12-18,Rohan Joshi,Male,58,Nagpur,Maharashtra,West,Jacket,Fashion,Clothing,Aarav Shah,5,7100.0,10,31950.0,1666.4,Credit Card,Completed,Delivered
ORD00016,2025-09-09,Rohan Singh,Female,43,Delhi,Delhi,North,Watch,Accessories,Watches,Kabir Joshi,1,10600.0,15,9010.0,1533.59,Credit Card,Completed,In Transit
ORD00017,2025-08-21,Arjun Shah,Male,36,Bhopal,Madhya Pradesh,Central,Smartphone,Electronics,Mobiles,Rohan Mehta,1,16900.0,20,0.0,0.0,Cash,Cancelled,Cancelled
ORD00018,2025-06-02,Kabir Mehta,Male,35,Ahmedabad,Gujarat,West,Smartwatch,Accessories,Wearables,Diya Patel,3,17000.0,15,43350.0,5439.96,Credit Card,Completed,Delivered
ORD00019,2025-05-15,Meera Verma,Male,34,Vadodara,Gujarat,West,Jacket,Fashion,Clothing,Aarav Shah,5,3200.0,15,13600.0,1553.2,Credit Card,Completed,Delivered
ORD00020,2025-11-13,Aarav Desai,Female,36,Chandigarh,Chandigarh,North,Jeans,Fashion,Clothing,Anaya Joshi,5,3000.0,20,12000.0,1839.91,UPI,Completed,Delivered
ORD00021,2025-08-21,Ishita Mehta,Male,41,Bhopal,Madhya Pradesh,Central,Backpack,Fashion,Bags,Aarav Shah,4,4300.0,20,0.0,0.0,Credit Card,Cancelled,Cancelled
ORD00022,2025-08-11,Kabir Patel,Female,20,Vadodara,Gujarat,West,Laptop,Electronics,Computers,Meera Mehta,4,56800.0,10,204480.0,18648.55,UPI,Completed,Delivered
ORD00023,2025-02-08,Ishita Verma,Male,59,Kochi,Kerala,South,T-Shirt,Fashion,Clothing,Arjun Patel,2,1000.0,5,1900.0,277.97,Credit Card,Completed,Delivered
ORD00024,2025-09-21,Anaya Shah,Female,33,Kochi,Kerala,South,Running Shoes,Fashion,Footwear,Rohan Mehta,4,4300.0,10,0.0,0.0,UPI,Cancelled,Cancelled
ORD00025,2025-02-27,Ishita Patel,Female,59,Surat,Gujarat,West,Smartphone,Electronics,Mobiles,Ishita Shah,3,36700.0,10,0.0,0.0,UPI,Cancelled,Cancelled
ORD00026,2025-02-16,Anaya Kapoor,Male,57,Mysuru,Karnataka,South,Refrigerator,Appliances,Kitchen Appliances,Anaya Joshi,1,65900.0,5,62605.0,8199.74,UPI,Completed,Delivered
ORD00027,2025-11-14,Riya Desai,Male,26,Kochi,Kerala,South,Dining Table,Furniture,Dining,Vivaan Desai,3,46200.0,5,131670.0,19319.35,UPI,Completed,Delivered
ORD00028,2025-03-10,Arjun Verma,Female,46,Ahmedabad,Gujarat,West,T-Shirt,Fashion,Clothing,Arjun Patel,2,1000.0,0,2000.0,271.65,UPI,Completed,Delivered
ORD00029,2025-07-23,Anaya Desai,Female,43,Indore,Madhya Pradesh,Central,Sunglasses,Accessories,Eyewear,Riya Desai,5,1500.0,10,6750.0,377.87,Credit Card,Completed,Delivered
ORD00030,2025-08-11,Diya Joshi,Female,36,Delhi,Delhi,North,Television,Electronics,Home Entertainment,Riya Desai,1,55200.0,15,46920.0,6102.44,Credit Card,Completed,Delivered
ORD00031,2025-06-27,Anaya Verma,Male,50,Pune,Maharashtra,West,Running Shoes,Fashion,Footwear,Aarav Shah,4,4900.0,20,15680.0,838.04,Cash,Completed,Delivered
ORD00032,2025-08-30,Diya Desai,Male,40,Mysuru,Karnataka,South,Refrigerator,Appliances,Kitchen Appliances,Aarav Shah,4,42500.0,25,127500.0,9800.79,Debit Card,Completed,Delivered
ORD00033,2025-03-16,Diya Desai,Male,53,Bengaluru,Karnataka,South,Smartphone,Electronics,Mobiles,Kabir Joshi,3,26900.0,0,0.0,0.0,Cash,Cancelled,Cancelled
ORD00034,2025-04-06,Aarav Singh,Female,40,Mumbai,Maharashtra,West,Dining Table,Furniture,Dining,Vivaan Desai,5,44300.0,15,188275.0,27321.38,UPI,Completed,Delivered
ORD00035,2025-04-10,Rohan Shah,Female,58,Chennai,Tamil Nadu,South,Headphones,Electronics,Accessories,Rohan Mehta,1,3600.0,10,3240.0,510.1,UPI,Completed,Delivered
ORD00036,2025-01-25,Vivaan Mehta,Female,38,Delhi,Delhi,North,Jeans,Fashion,Clothing,Anaya Joshi,4,3400.0,15,0.0,0.0,Net Banking,Cancelled,Cancelled
ORD00037,2025-08-03,Vivaan Mehta,Male,60,Indore,Madhya Pradesh,Central,Air Conditioner,Appliances,Cooling,Diya Patel,5,76500.0,25,286875.0,-22794.4,Net Banking,Returned,Returned
ORD00038,2025-10-10,Riya Shah,Female,19,Udaipur,Rajasthan,North,Dining Table,Furniture,Dining,Vivaan Desai,2,38600.0,0,77200.0,-7186.33,Credit Card,Returned,Returned
ORD00039,2025-12-30,Rohan Desai,Female,56,Nagpur,Maharashtra,West,Sunglasses,Accessories,Eyewear,Riya Desai,5,3000.0,15,12750.0,1618.56,Net Banking,Completed,Delivered
ORD00040,2025-01-01,Kabir Singh,Male,30,Delhi,Delhi,North,Headphones,Electronics,Accessories,Kabir Joshi,5,1100.0,10,4950.0,724.32,Credit Card,Completed,Delivered
ORD00041,2025-08-01,Vivaan Verma,Male,54,Bhopal,Madhya Pradesh,Central,Laptop,Electronics,Computers,Anaya Joshi,5,83500.0,0,0.0,0.0,Credit Card,Cancelled,Cancelled
ORD00042,2025-01-12,Arjun Shah,Female,49,Patna,Bihar,East,Watch,Accessories,Watches,Meera Mehta,1,4400.0,5,4180.0,550.02,Credit Card,Completed,Delivered
ORD00043,2025-05-25,Ishita Singh,Male,50,Jaipur,Rajasthan,North,Television,Electronics,Home Entertainment,Vivaan Desai,2,50200.0,5,95380.0,5732.86,Cash,Completed,Delayed
ORD00044,2025-01-10,Kabir Patel,Female,47,Indore,Madhya Pradesh,Central,Running Shoes,Fashion,Footwear,Diya Patel,3,6000.0,20,0.0,0.0,Credit Card,Cancelled,Cancelled
ORD00045,2025-10-10,Ishita Mehta,Male,30,Pune,Maharashtra,West,Laptop,Electronics,Computers,Aarav Shah,1,64200.0,25,48150.0,6126.46,Credit Card,Completed,Delivered
